scenario_label,closeness_condition,closeness,action,n,empirical_stat,ci_lower,mean,ci_upper
hike,not_close,0,2,21,4.571428571428571,4,4.572977692823719,5.150197368421053
hike,not_close,0,3,21,5.523809523809524,4.866590909090909,5.533733126370196,6.115625
hike,somewhat_close,1,0,25,1.76,1.307608695652174,1.7611883389834275,2.3158492822966505
hike,somewhat_close,1,1,25,1.84,1.3333333333333335,1.8360685251937028,2.407799145299145
hike,somewhat_close,1,2,25,3.84,3.2961805555555554,3.841157788789626,4.407407407407407
hike,somewhat_close,1,3,25,4.84,4.208125,4.8251339218667395,5.466842105263158
hike,close,2,0,24,1.5416666666666665,1.1426190476190476,1.551736542113598,2.1154411764705885
hike,close,2,1,24,1.5833333333333333,1.2727272727272727,1.5849092251298051,1.944583333333333
hike,close,2,2,24,3.208333333333333,2.4,3.21076958653865,4.074305555555555
hike,close,2,3,24,3.875,3,3.8982659747072255,4.875951086956521
hike,extremely_close,3,0,19,1.3157894736842106,1.0555555555555556,1.3213051639642555,1.6959079283887466
hike,extremely_close,3,1,19,1.7894736842105263,1.2727272727272727,1.7671064944053791,2.353046218487395
hike,extremely_close,3,2,19,3.1578947368421053,2.1995454545454547,3.143248013348383,4.143285714285714
hike,extremely_close,3,3,19,4.105263157894737,3.090422077922078,4.100410268617493,5.190714285714286
oysters,not_close,0,0,24,1.625,1.205735294117647,1.6398825015666105,2.20030303030303
oysters,not_close,0,1,24,2.0416666666666665,1.4444444444444444,2.035002320423394,2.700357142857143
oysters,not_close,0,2,24,4.166666666666667,3.52,4.174968354869264,4.78952850877193
oysters,not_close,0,3,24,5.625,5.05548245614035,5.618973213072552,6.13344827586207
oysters,somewhat_close,1,0,23,1.565217391304348,1.1764066496163683,1.5676673947308435,2.04781746031746
oysters,somewhat_close,1,1,23,2.1739130434782608,1.4736842105263157,2.1642791525600384,3
oysters,somewhat_close,1,2,23,3.6956521739130435,2.998913043478261,3.6768891664204726,4.444444444444445
oysters,somewhat_close,1,3,23,4.869565217391305,4.172974308300395,4.848804693845624,5.576069518716578
oysters,close,2,0,20,1.45,1.1764705882352942,1.4597279733807864,1.7777777777777777
oysters,close,2,1,20,1.7,1.1922619047619047,1.6956380633902721,2.368932748538011
oysters,close,2,2,20,3.15,2.3887820512820515,3.1412364989845427,3.8465909090909087
oysters,close,2,3,20,4,3.1997619047619046,3.9941301926570563,4.833333333333333
oysters,extremely_close,3,0,22,1.1818181818181819,1,1.1823234976241155,1.5201578947368422
oysters,extremely_close,3,1,22,1.6363636363636362,1.2352941176470589,1.631944241629212,2.142857142857143
oysters,extremely_close,3,2,22,3.1818181818181817,2.4060937499999997,3.1926082817774146,4
oysters,extremely_close,3,3,22,4.318181818181818,3.499342105263158,4.311354840624121,5.062604166666667
social,not_close,0,0,25,1.44,1,1.4423802014281586,1.9600384615384614
social,not_close,0,1,25,3.7199999999999998,3.1245065789473685,3.719713651024958,4.22736013986014
social,not_close,0,2,25,5.04,4.434627329192547,5.043885360460056,5.55595238095238
