scenario_label,closeness_condition,closeness,action,n,empirical_stat,ci_lower,mean,ci_upper
fair,somewhat_close,1,2,19,2.8421052631578947,2.173731884057971,2.835425434400099,3.650416666666666
fair,somewhat_close,1,3,19,4.105263157894737,3.368301435406698,4.09881490219022,4.905142857142858
fair,close,2,0,23,1.1304347826086956,1,1.1332289215231908,1.3461956521739131
fair,close,2,1,23,1.2173913043478262,1.0384615384615385,1.21953406207199,1.4545454545454546
fair,close,2,2,23,3.5217391304347827,2.8437088815789475,3.520572340933205,4.1766042780748664
fair,close,2,3,23,4.956521739130435,4.079851851851852,4.9800869393453455,5.75
fair,extremely_close,3,0,27,1.3333333333333333,1.0344827586206897,1.3252380336528193,1.7037581699346405
fair,extremely_close,3,1,27,1.5555555555555556,1.1875,1.5689170278838036,2.0626616379310345
fair,extremely_close,3,2,27,3.185185185185185,2.523214285714286,3.1793033228218563,3.889035087719298
fair,extremely_close,3,3,27,4,3.2664285714285715,4.00172461118364,4.791666666666667
gala,not_close,0,0,25,1.44,1.0375,1.4446011276651947,1.9446969696969694
gala,not_close,0,1,25,2.96,2.42094298245614,2.9655225255506235,3.5790570175438594
gala,not_close,0,2,25,3.8,3.191964285714286,3.8025913403681058,4.461666666666667
gala,not_close,0,3,25,5.16,4.599705882352941,5.133482868220306,5.684605263157894
gala,somewhat_close,1,0,23,1.2173913043478262,1,1.2083883422531327,1.5004310344827583
gala,somewhat_close,1,1,23,2.1739130434782608,1.5882352941176472,2.1729739107297354,2.8847222222222224
gala,somewhat_close,1,2,23,2.5217391304347827,1.7995652173913044,2.5164131004237382,3.3158947368421052
gala,somewhat_close,1,3,23,3.260869565217391,2.521195652173913,3.2449499051098525,4
gala,close,2,0,20,1.4,1.1360795454545456,1.399795222127067,1.733421052631579
gala,close,2,1,20,1.75,1.375,1.751519427908633,2.1538461538461537
gala,close,2,2,20,2.25,1.6499264705882353,2.250766154215767,3
gala,close,2,3,20,3.4,2.6086568322981365,3.4002914637731076,4.222619047619047
gala,extremely_close,3,0,21,1.4285714285714286,1.1762254901960785,1.4304529093657228,1.7222701149425288
gala,extremely_close,3,1,21,1.3333333333333333,1.0799230769230772,1.3299305235757017,1.6297979797979796
gala,extremely_close,3,2,21,1.619047619047619,1.2665789473684208,1.6187406767413481,2
gala,extremely_close,3,3,21,2.6666666666666665,2.039,2.669009542725322,3.4
hike,not_close,0,0,21,1.4761904761904763,1.0714285714285714,1.4660357397102342,2.062723214285714
hike,not_close,0,1,21,1.9523809523809523,1.3997826086956522,1.947704271207391,2.6
hike,not_close,0,2,21,4.571428571428571,4,4.565002423486187,5.142857142857143
hike,not_close,0,3,21,5.523809523809524,4.849583333333333,5.5167557031209284,6.08705533596838
hike,somewhat_close,1,0,25,1.76,1.3103448275862069,1.7565791006408409,2.333333333333333
hike,somewhat_close,1,1,25,1.84,1.3458333333333332,1.8343192021797383,2.4615384615384617
hike,somewhat_close,1,2,25,3.84,3.2857142857142856,3.8428052974013927,4.440029411764706
hike,somewhat_close,1,3,25,4.84,4.193471582181259,4.845544435040193,5.5
hike,close,2,0,24,1.5416666666666665,1.1152777777777778,1.5418592776813398,2.0771739130434783
hike,close,2,1,24,1.5833333333333333,1.2857142857142858,1.5948181971963653,1.962962962962963
hike,close,2,2,24,3.208333333333333,2.449956896551724,3.206611663975019,4.105263157894737
hike,close,2,3,24,3.875,2.95,3.8618019810385618,4.809523809523809
hike,extremely_close,3,0,19,1.3157894736842106,1.0555555555555556,1.319756672584432,1.6430357142857144
hike,extremely_close,3,1,19,1.7894736842105263,1.2857142857142858,1.7826225698497435,2.4347826086956523
hike,extremely_close,3,2,19,3.1578947368421053,2.125,3.160390439176645,4.111111111111111
hike,extremely_close,3,3,19,4.105263157894737,3.0665625000000003,4.087688238560294,5.133571428571429
oysters,not_close,0,0,24,1.625,1.166532258064516,1.625889918781405,2.25
oysters,not_close,0,1,24,2.0416666666666665,1.4665384615384613,2.040382027650924,2.739130434782609
oysters,not_close,0,2,24,4.166666666666667,3.5,4.154484905873252,4.761904761904762
oysters,not_close,0,3,24,5.625,5,5.622416055478755,6.161605890603085
oysters,somewhat_close,1,0,23,1.565217391304348,1.1428571428571428,1.5515726844034803,2
oysters,somewhat_close,1,1,23,2.1739130434782608,1.4761278195488723,2.1766020660425025,2.9593749999999988
oysters,somewhat_close,1,2,23,3.6956521739130435,3,3.6976494258403427,4.440249999999999
