subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_full,pred_vanilla,pred_discomfort_only,pred_full_lm,pred_vanilla_lm,pred_discomfort_only_lm
016d631b-870f-5249-8608-d9bc2e354682,driving,50,high,0,0.07,0.5,1,7,0.19999585,0.19011483,0.3702086,0.17193069,0.16953488,0.35265216
016d631b-870f-5249-8608-d9bc2e354682,driving,50,high,1,0.88,0.5,1,7,0.4561921,0.40916693,0.3702086,0.47197786,0.43303886,0.35265216
016d631b-870f-5249-8608-d9bc2e354682,driving,50,high,2,0.02,0.5,1,7,0.2289293,0.24908495,0.1759544,0.27585,0.2884806,0.21489681
016d631b-870f-5249-8608-d9bc2e354682,driving,50,high,3,0.03,0.5,1,7,0.114882775,0.15163323,0.0836284,0.08024142,0.108945645,0.079798885
016d631b-870f-5249-8608-d9bc2e354682,fair,100,low,0,0.0,1.0,0,8,0.44398928,0.54962945,0.25,0.3944051,0.50677854,0.25
016d631b-870f-5249-8608-d9bc2e354682,fair,100,low,1,0.44,1.0,0,8,0.1853369,0.2275344,0.25,0.22400042,0.27793825,0.25
016d631b-870f-5249-8608-d9bc2e354682,fair,100,low,2,0.36,1.0,0,8,0.1853369,0.13851412,0.25,0.22912715,0.14156029,0.25
016d631b-870f-5249-8608-d9bc2e354682,fair,100,low,3,0.2,1.0,0,8,0.1853369,0.084322006,0.25,0.15246746,0.07372297,0.25
016d631b-870f-5249-8608-d9bc2e354682,gala,75,high,0,0.0,0.75,1,9,0.13002345,0.19011483,0.3159864,0.09544571,0.1450326,0.3097795
016d631b-870f-5249-8608-d9bc2e354682,gala,75,high,1,0.0,0.75,1,9,0.3936147,0.40916693,0.3159864,0.42039433,0.4392484,0.3097795
016d631b-870f-5249-8608-d9bc2e354682,gala,75,high,2,0.63,0.75,1,9,0.27883554,0.24908495,0.21784379,0.2225843,0.20094302,0.21365607
016d631b-870f-5249-8608-d9bc2e354682,gala,75,high,3,0.37,0.75,1,9,0.19752628,0.15163323,0.15018342,0.2615757,0.214776,0.166785
016d631b-870f-5249-8608-d9bc2e354682,hike,100,high,0,0.0,1.0,1,10,0.07661096,0.19011483,0.25,0.07324377,0.18448983,0.25
016d631b-870f-5249-8608-d9bc2e354682,hike,100,high,1,0.13,1.0,1,10,0.30779636,0.40916693,0.25,0.32491577,0.45103177,0.25
016d631b-870f-5249-8608-d9bc2e354682,hike,100,high,2,0.58,1.0,1,10,0.30779636,0.24908495,0.25,0.38068435,0.24714832,0.25
016d631b-870f-5249-8608-d9bc2e354682,hike,100,high,3,0.29,1.0,1,10,0.30779636,0.15163323,0.25,0.22115618,0.11733003,0.25
016d631b-870f-5249-8608-d9bc2e354682,oysters,50,low,0,0.93,0.5,0,11,0.57735443,0.54962945,0.3702086,0.5626546,0.5377941,0.35265216
016d631b-870f-5249-8608-d9bc2e354682,oysters,50,low,1,0.07,0.5,0,11,0.24100827,0.2275344,0.3702086,0.200946,0.19119295,0.35265216
016d631b-870f-5249-8608-d9bc2e354682,oysters,50,low,2,0.0,0.5,0,11,0.120944336,0.13851412,0.1759544,0.1927784,0.20952849,0.21489681
016d631b-870f-5249-8608-d9bc2e354682,oysters,50,low,3,0.0,0.5,0,11,0.060693063,0.084322006,0.0836284,0.04362104,0.0614844,0.079798885
016d631b-870f-5249-8608-d9bc2e354682,social,100,low,0,0.71,1.0,0,12,0.44398928,0.54962945,0.25,0.49998337,0.6285082,0.25
016d631b-870f-5249-8608-d9bc2e354682,social,100,low,1,0.01,1.0,0,12,0.1853369,0.2275344,0.25,0.14967066,0.1794143,0.25
016d631b-870f-5249-8608-d9bc2e354682,social,100,low,2,0.24,1.0,0,12,0.1853369,0.13851412,0.25,0.21207231,0.12676428,0.25
016d631b-870f-5249-8608-d9bc2e354682,social,100,low,3,0.04,1.0,0,12,0.1853369,0.084322006,0.25,0.13827369,0.06531311,0.25
016d631b-870f-5249-8608-d9bc2e354682,soup,75,low,0,0.9,0.75,0,13,0.52012193,0.54962945,0.3159864,0.5460484,0.5798393,0.3249322
016d631b-870f-5249-8608-d9bc2e354682,soup,75,low,1,0.06,0.75,0,13,0.2171174,0.2275344,0.3159864,0.19723433,0.20849666,0.3249322
016d631b-870f-5249-8608-d9bc2e354682,soup,75,low,2,0.04,0.75,0,13,0.15380535,0.13851412,0.21784379,0.11041506,0.09570878,0.19556822
016d631b-870f-5249-8608-d9bc2e354682,soup,75,low,3,0.0,0.75,0,13,0.108955264,0.084322006,0.15018342,0.14630227,0.11595526,0.15456739
016d631b-870f-5249-8608-d9bc2e354682,takeout,50,low,0,0.7,0.5,0,14,0.57735443,0.54962945,0.3702086,0.5425878,0.506776,0.40440503
016d631b-870f-5249-8608-d9bc2e354682,takeout,50,low,1,0.3,0.5,0,14,0.24100827,0.2275344,0.3702086,0.28068116,0.26862994,0.36535716
016d631b-870f-5249-8608-d9bc2e354682,takeout,50,low,2,0.0,0.5,0,14,0.120944336,0.13851412,0.1759544,0.13495035,0.16704968,0.13872817
016d631b-870f-5249-8608-d9bc2e354682,takeout,50,low,3,0.0,0.5,0,14,0.060693063,0.084322006,0.0836284,0.041780718,0.05754445,0.09150963
016d631b-870f-5249-8608-d9bc2e354682,wedding,50,high,0,0.05,0.5,1,15,0.19999585,0.19011483,0.3702086,0.15141143,0.15073934,0.32809028
016d631b-870f-5249-8608-d9bc2e354682,wedding,50,high,1,0.84,0.5,1,15,0.4561921,0.40916693,0.3702086,0.38379997,0.35314143,0.32809028
016d631b-870f-5249-8608-d9bc2e354682,wedding,50,high,2,0.11,0.5,1,15,0.2289293,0.24908495,0.1759544,0.34776613,0.33848298,0.2658085
016d631b-870f-5249-8608-d9bc2e354682,wedding,50,high,3,0.0,0.5,1,15,0.114882775,0.15163323,0.0836284,0.117022455,0.15763623,0.07801091
0383cffe-7969-5917-85d5-e47d0c729fcc,apples,50,high,0,0.13,0.5,1,0,0.19999585,0.19011483,0.3702086,0.22038218,0.19713584,0.45310557
0383cffe-7969-5917-85d5-e47d0c729fcc,apples,50,high,1,0.87,0.5,1,0,0.4561921,0.40916693,0.3702086,0.4037431,0.37920165,0.27611044
0383cffe-7969-5917-85d5-e47d0c729fcc,apples,50,high,2,0.0,0.5,1,0,0.2289293,0.24908495,0.1759544,0.2338435,0.25032914,0.16825432
0383cffe-7969-5917-85d5-e47d0c729fcc,apples,50,high,3,0.0,0.5,1,0,0.114882775,0.15163323,0.0836284,0.14203122,0.17333344,0.1025297
0383cffe-7969-5917-85d5-e47d0c729fcc,basketball,0,low,0,0.68,0.0,0,1,0.6455648,0.54962945,0.439189,0.7116048,0.6263912,0.4727702
0383cffe-7969-5917-85d5-e47d0c729fcc,basketball,0,low,1,0.32,0.0,0,1,0.2694817,0.2275344,0.439189,0.2570338,0.22523564,0.4727702
0383cffe-7969-5917-85d5-e47d0c729fcc,basketball,0,low,2,0.0,0.0,0,1,0.067863524,0.13851412,0.099210754,0.017981151,0.080252655,0.030251931
0383cffe-7969-5917-85d5-e47d0c729fcc,basketball,0,low,3,0.0,0.0,0,1,0.01709006,0.084322006,0.022411248,0.013380292,0.06812047,0.024207542
0383cffe-7969-5917-85d5-e47d0c729fcc,birthday,100,high,0,0.03,1.0,1,2,0.07661096,0.19011483,0.25,0.075940266,0.1912716,0.25
0383cffe-7969-5917-85d5-e47d0c729fcc,birthday,100,high,1,0.97,1.0,1,2,0.30779636,0.40916693,0.25,0.2850378,0.3676792,0.25
0383cffe-7969-5917-85d5-e47d0c729fcc,birthday,100,high,2,0.0,1.0,1,2,0.30779636,0.24908495,0.25,0.33396173,0.28739306,0.25
0383cffe-7969-5917-85d5-e47d0c729fcc,birthday,100,high,3,0.0,1.0,1,2,0.30779636,0.15163323,0.25,0.3050603,0.15365605,0.25
0383cffe-7969-5917-85d5-e47d0c729fcc,brunch,100,low,0,0.74,1.0,0,3,0.44398928,0.54962945,0.25,0.30867672,0.36972126,0.25
