subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_access_full,pred_access_only,pred_no_access
367dcae5-5607-5a12-a236-2b4a06b8efef,towel,50,low,1,0.0,0.5,0,15,0.25167686,0.28682855,0.22947074
367dcae5-5607-5a12-a236-2b4a06b8efef,towel,50,low,2,0.0,0.5,0,15,0.17848851,0.20401374,0.2193681
367dcae5-5607-5a12-a236-2b4a06b8efef,towel,50,low,3,0.0,0.5,0,15,0.14135768,0.16256142,0.20255141
40bd5b02-b879-5f02-8ba6-1776564b4b04,bed,100,low,0,0.0,1.0,0,0,0.3194672,0.25,0.3336831
40bd5b02-b879-5f02-8ba6-1776564b4b04,bed,100,low,1,0.0,1.0,0,0,0.22595516,0.25,0.2117838
40bd5b02-b879-5f02-8ba6-1776564b4b04,bed,100,low,2,0.5,1.0,0,0,0.22717097,0.25,0.22585349
40bd5b02-b879-5f02-8ba6-1776564b4b04,bed,100,low,3,0.5,1.0,0,0,0.22740676,0.25,0.22867958
40bd5b02-b879-5f02-8ba6-1776564b4b04,blanket,100,low,0,0.03,1.0,0,1,0.32032132,0.25,0.34431136
40bd5b02-b879-5f02-8ba6-1776564b4b04,blanket,100,low,1,0.14,1.0,0,1,0.22696492,0.25,0.2232653
40bd5b02-b879-5f02-8ba6-1776564b4b04,blanket,100,low,2,0.31,1.0,0,1,0.2265593,0.25,0.2185294
40bd5b02-b879-5f02-8ba6-1776564b4b04,blanket,100,low,3,0.52,1.0,0,1,0.2261544,0.25,0.21389396
40bd5b02-b879-5f02-8ba6-1776564b4b04,breakup,50,low,0,0.25,0.5,0,2,0.40670776,0.32702872,0.34331954
40bd5b02-b879-5f02-8ba6-1776564b4b04,breakup,50,low,1,0.59,0.5,0,2,0.2531366,0.2860861,0.23297454
40bd5b02-b879-5f02-8ba6-1776564b4b04,breakup,50,low,2,0.11,0.5,0,2,0.1948844,0.22060052,0.22686231
40bd5b02-b879-5f02-8ba6-1776564b4b04,breakup,50,low,3,0.05,0.5,0,2,0.14527127,0.1662846,0.19684358
40bd5b02-b879-5f02-8ba6-1776564b4b04,chapstick,100,high,0,0.0,1.0,1,3,0.1925371,0.25,0.19490984
40bd5b02-b879-5f02-8ba6-1776564b4b04,chapstick,100,high,1,0.06,1.0,1,3,0.26787168,0.25,0.2532055
40bd5b02-b879-5f02-8ba6-1776564b4b04,chapstick,100,high,2,0.09,1.0,1,3,0.269313,0.25,0.27002698
40bd5b02-b879-5f02-8ba6-1776564b4b04,chapstick,100,high,3,0.85,1.0,1,3,0.27027822,0.25,0.28185767
40bd5b02-b879-5f02-8ba6-1776564b4b04,gossip,0,high,0,0.39,0.0,1,4,0.34622633,0.42608845,0.19424544
40bd5b02-b879-5f02-8ba6-1776564b4b04,gossip,0,high,1,0.47,0.0,1,4,0.3497397,0.30691418,0.2749385
40bd5b02-b879-5f02-8ba6-1776564b4b04,gossip,0,high,2,0.14,0.0,1,4,0.18605089,0.16330953,0.2691065
40bd5b02-b879-5f02-8ba6-1776564b4b04,gossip,0,high,3,0.0,0.0,1,4,0.11798307,0.103687786,0.26170948
40bd5b02-b879-5f02-8ba6-1776564b4b04,hairbrush,75,low,0,0.21,0.75,0,5,0.36069524,0.28450903,0.35173145
40bd5b02-b879-5f02-8ba6-1776564b4b04,hairbrush,75,low,1,0.06,0.75,0,5,0.2443107,0.275674,0.19378263
40bd5b02-b879-5f02-8ba6-1776564b4b04,hairbrush,75,low,2,0.28,0.75,0,5,0.21735768,0.24299352,0.21580316
40bd5b02-b879-5f02-8ba6-1776564b4b04,hairbrush,75,low,3,0.45,0.75,0,5,0.17763633,0.19682346,0.2386828
40bd5b02-b879-5f02-8ba6-1776564b4b04,harmonica,0,low,0,0.45,0.0,0,6,0.4944958,0.40831417,0.34864593
40bd5b02-b879-5f02-8ba6-1776564b4b04,harmonica,0,low,1,0.08,0.0,0,6,0.24367227,0.28678167,0.19878626
40bd5b02-b879-5f02-8ba6-1776564b4b04,harmonica,0,low,2,0.33,0.0,0,6,0.18419255,0.21508242,0.2165867
40bd5b02-b879-5f02-8ba6-1776564b4b04,harmonica,0,low,3,0.14,0.0,0,6,0.077639356,0.08982173,0.23598106
40bd5b02-b879-5f02-8ba6-1776564b4b04,hat,50,low,0,0.73,0.5,0,7,0.37979922,0.30156034,0.34953406
40bd5b02-b879-5f02-8ba6-1776564b4b04,hat,50,low,1,0.09,0.5,0,7,0.2334744,0.26247805,0.21713842
40bd5b02-b879-5f02-8ba6-1776564b4b04,hat,50,low,2,0.09,0.5,0,7,0.25609413,0.29035807,0.19674534
40bd5b02-b879-5f02-8ba6-1776564b4b04,hat,50,low,3,0.09,0.5,0,7,0.1306323,0.14560355,0.2365822
40bd5b02-b879-5f02-8ba6-1776564b4b04,home,75,high,0,0.14,0.75,1,8,0.21981628,0.28137112,0.20456322
40bd5b02-b879-5f02-8ba6-1776564b4b04,home,75,high,1,0.18,0.75,1,8,0.28972661,0.26921493,0.23568033
40bd5b02-b879-5f02-8ba6-1776564b4b04,home,75,high,2,0.36,0.75,1,8,0.26917094,0.24801527,0.26010907
40bd5b02-b879-5f02-8ba6-1776564b4b04,home,75,high,3,0.32,0.75,1,8,0.22128619,0.20139867,0.29964733
40bd5b02-b879-5f02-8ba6-1776564b4b04,locker-room,100,high,0,0.05,1.0,1,9,0.19052465,0.25,0.17165151
40bd5b02-b879-5f02-8ba6-1776564b4b04,locker-room,100,high,1,0.14,1.0,1,9,0.26908472,0.25,0.26699448
40bd5b02-b879-5f02-8ba6-1776564b4b04,locker-room,100,high,2,0.3,1.0,1,9,0.2693737,0.25,0.2704513
40bd5b02-b879-5f02-8ba6-1776564b4b04,locker-room,100,high,3,0.51,1.0,1,9,0.27101693,0.25,0.29090264
40bd5b02-b879-5f02-8ba6-1776564b4b04,navigation,50,high,0,0.17,0.5,1,10,0.29123846,0.36440808,0.20162223
40bd5b02-b879-5f02-8ba6-1776564b4b04,navigation,50,high,1,0.51,0.5,1,10,0.29685652,0.26581854,0.27340123
40bd5b02-b879-5f02-8ba6-1776564b4b04,navigation,50,high,2,0.23,0.5,1,10,0.22144108,0.19885786,0.2619255
40bd5b02-b879-5f02-8ba6-1776564b4b04,navigation,50,high,3,0.09,0.5,1,10,0.19046396,0.1709155,0.26305103
40bd5b02-b879-5f02-8ba6-1776564b4b04,payment,0,high,0,0.55,0.0,1,11,0.3593037,0.43940058,0.19789505
40bd5b02-b879-5f02-8ba6-1776564b4b04,payment,0,high,1,0.28,0.0,1,11,0.26640218,0.23380578,0.25708354
40bd5b02-b879-5f02-8ba6-1776564b4b04,payment,0,high,2,0.17,0.0,1,11,0.2239191,0.19594476,0.2649172
40bd5b02-b879-5f02-8ba6-1776564b4b04,payment,0,high,3,0.0,0.0,1,11,0.15037501,0.13084894,0.28010422
40bd5b02-b879-5f02-8ba6-1776564b4b04,sauna,50,high,0,0.26,0.5,1,12,0.23661242,0.30224562,0.19521567
40bd5b02-b879-5f02-8ba6-1776564b4b04,sauna,50,high,1,0.09,0.5,1,12,0.32978186,0.30224562,0.2590988
40bd5b02-b879-5f02-8ba6-1776564b4b04,sauna,50,high,2,0.49,0.5,1,12,0.27372438,0.25012574,0.26699388
