subject_id,scenario_label,intimacy,motivation,action,p_action,intimacy_scaled,reward_condition,scenario_idx,pred_access_full,pred_access_only,pred_no_access,pred_access_full_prior,pred_access_only_prior,pred_no_access_prior
016d631b-870f-5249-8608-d9bc2e354682,soup,75,low,2,0.04,0.75,0,13,0.1430148,0.21067213,0.17578675,0.14955026,0.22601882,0.19134967
016d631b-870f-5249-8608-d9bc2e354682,soup,75,low,3,0.0,0.75,0,13,0.12253593,0.18065085,0.17578684,0.107184075,0.16215841,0.114346005
016d631b-870f-5249-8608-d9bc2e354682,takeout,50,low,0,0.7,0.5,0,14,0.62661266,0.4159636,0.47263965,0.6357093,0.42702582,0.54691464
016d631b-870f-5249-8608-d9bc2e354682,takeout,50,low,1,0.3,0.5,0,14,0.21396632,0.3339441,0.17578676,0.22459128,0.35269293,0.22033499
016d631b-870f-5249-8608-d9bc2e354682,takeout,50,low,2,0.0,0.5,0,14,0.08847411,0.13872275,0.17578684,0.094028965,0.14816555,0.18662332
016d631b-870f-5249-8608-d9bc2e354682,takeout,50,low,3,0.0,0.5,0,14,0.07094693,0.111369476,0.1757867,0.045670494,0.07211568,0.046127062
016d631b-870f-5249-8608-d9bc2e354682,wedding,50,high,0,0.05,0.5,1,15,0.24713881,0.4342902,0.11030071,0.24979018,0.4367341,0.14117938
016d631b-870f-5249-8608-d9bc2e354682,wedding,50,high,1,0.84,0.5,1,15,0.2992713,0.22471675,0.2965664,0.296104,0.222208,0.29706538
016d631b-870f-5249-8608-d9bc2e354682,wedding,50,high,2,0.11,0.5,1,15,0.29927132,0.22471675,0.29656643,0.30493286,0.22881696,0.32148007
016d631b-870f-5249-8608-d9bc2e354682,wedding,50,high,3,0.0,0.5,1,15,0.15431856,0.11627622,0.29656646,0.14917292,0.11224095,0.24027517
0383cffe-7969-5917-85d5-e47d0c729fcc,apples,50,high,0,0.13,0.5,1,0,0.2792976,0.47520867,0.11030071,0.27589267,0.46998787,0.13403691
0383cffe-7969-5917-85d5-e47d0c729fcc,apples,50,high,1,0.87,0.5,1,0,0.3382138,0.24588938,0.29656643,0.337234,0.24655773,0.30628002
0383cffe-7969-5917-85d5-e47d0c729fcc,apples,50,high,2,0.0,0.5,1,0,0.2080895,0.15167026,0.2965664,0.2267175,0.1660352,0.34830314
0383cffe-7969-5917-85d5-e47d0c729fcc,apples,50,high,3,0.0,0.5,1,0,0.17439914,0.12723167,0.2965664,0.16015579,0.11741917,0.21137995
0383cffe-7969-5917-85d5-e47d0c729fcc,basketball,0,low,0,0.68,0.0,0,1,0.6729328,0.46655548,0.4726397,0.6744096,0.46964496,0.54868615
0383cffe-7969-5917-85d5-e47d0c729fcc,basketball,0,low,1,0.32,0.0,0,1,0.28654978,0.46655548,0.17578672,0.28430218,0.46249577,0.20636575
0383cffe-7969-5917-85d5-e47d0c729fcc,basketball,0,low,2,0.0,0.0,0,1,0.020258734,0.03344452,0.17578684,0.021598103,0.035493728,0.13762178
0383cffe-7969-5917-85d5-e47d0c729fcc,basketball,0,low,3,0.0,0.0,0,1,0.020258734,0.03344452,0.17578684,0.019690115,0.03236554,0.10732638
0383cffe-7969-5917-85d5-e47d0c729fcc,birthday,100,high,0,0.03,1.0,1,2,0.12429796,0.25,0.11030073,0.117431894,0.237149,0.096076034
0383cffe-7969-5917-85d5-e47d0c729fcc,birthday,100,high,1,0.97,1.0,1,2,0.2919006,0.25,0.29656634,0.32191637,0.278191,0.3768441
0383cffe-7969-5917-85d5-e47d0c729fcc,birthday,100,high,2,0.0,1.0,1,2,0.2919007,0.25,0.29656643,0.302633,0.26156646,0.31918624
0383cffe-7969-5917-85d5-e47d0c729fcc,birthday,100,high,3,0.0,1.0,1,2,0.29190072,0.25,0.29656646,0.2580188,0.22309352,0.20789362
0383cffe-7969-5917-85d5-e47d0c729fcc,brunch,100,low,0,0.74,1.0,0,3,0.43908417,0.25,0.4726396,0.45724303,0.26501662,0.5095412
0383cffe-7969-5917-85d5-e47d0c729fcc,brunch,100,low,1,0.14,1.0,0,3,0.18697192,0.25,0.17578676,0.1628684,0.2206093,0.12184306
0383cffe-7969-5917-85d5-e47d0c729fcc,brunch,100,low,2,0.09,1.0,0,3,0.18697195,0.25,0.17578682,0.19261922,0.2608001,0.19128259
0383cffe-7969-5917-85d5-e47d0c729fcc,brunch,100,low,3,0.03,1.0,0,3,0.18697202,0.25,0.17578688,0.18726936,0.253574,0.17733315
0383cffe-7969-5917-85d5-e47d0c729fcc,cooking,100,low,0,0.62,1.0,0,4,0.43908426,0.25,0.47263965,0.35018387,0.18759046,0.23792975
0383cffe-7969-5917-85d5-e47d0c729fcc,cooking,100,low,1,0.18,1.0,0,4,0.18697193,0.25,0.17578676,0.23424768,0.29280564,0.3096144
0383cffe-7969-5917-85d5-e47d0c729fcc,cooking,100,low,2,0.04,1.0,0,4,0.18697192,0.25,0.17578675,0.19505346,0.2439231,0.18925425
0383cffe-7969-5917-85d5-e47d0c729fcc,cooking,100,low,3,0.16,1.0,0,4,0.18697195,0.25,0.17578678,0.220515,0.27568084,0.2632016
0383cffe-7969-5917-85d5-e47d0c729fcc,dip,50,low,0,0.85,0.5,0,5,0.5686277,0.3590441,0.4726397,0.5366929,0.33126613,0.42776465
0383cffe-7969-5917-85d5-e47d0c729fcc,dip,50,low,1,0.15,0.5,0,5,0.24213445,0.3590441,0.1757868,0.26962057,0.38859648,0.25780162
0383cffe-7969-5917-85d5-e47d0c729fcc,dip,50,low,2,0.0,0.5,0,5,0.12485603,0.18578182,0.17578678,0.13818084,0.199674,0.21835738
0383cffe-7969-5917-85d5-e47d0c729fcc,dip,50,low,3,0.0,0.5,0,5,0.064381704,0.09612994,0.17578675,0.055505637,0.0804634,0.09607641
0383cffe-7969-5917-85d5-e47d0c729fcc,drinks,100,high,0,0.18,1.0,1,6,0.12429787,0.25,0.11030064,0.14583828,0.28503573,0.16898264
0383cffe-7969-5917-85d5-e47d0c729fcc,drinks,100,high,1,0.82,1.0,1,6,0.29190063,0.25,0.29656637,0.33190402,0.27771735,0.40191397
0383cffe-7969-5917-85d5-e47d0c729fcc,drinks,100,high,2,0.0,1.0,1,6,0.29190075,0.25,0.2965665,0.2838593,0.23760746,0.26398185
0383cffe-7969-5917-85d5-e47d0c729fcc,drinks,100,high,3,0.0,1.0,1,6,0.29190075,0.25,0.29656652,0.23839839,0.19963941,0.16512159
0383cffe-7969-5917-85d5-e47d0c729fcc,driving,0,high,0,0.0,0.0,1,7,0.24161336,0.42745593,0.11030071,0.23554824,0.4181872,0.14278372
0383cffe-7969-5917-85d5-e47d0c729fcc,driving,0,high,1,1.0,0.0,1,7,0.56740355,0.42745593,0.2965664,0.5776332,0.43896154,0.4151014
0383cffe-7969-5917-85d5-e47d0c729fcc,driving,0,high,2,0.0,0.0,1,7,0.15086833,0.11444642,0.29656643,0.15298437,0.1168606,0.30451632
0383cffe-7969-5917-85d5-e47d0c729fcc,driving,0,high,3,0.0,0.0,1,7,0.040114764,0.03064171,0.2965665,0.03383423,0.025990589,0.13759856
0383cffe-7969-5917-85d5-e47d0c729fcc,fair,0,high,0,0.0,0.0,1,8,0.3909975,0.59975576,0.11030073,0.37801817,0.58565587,0.14239028
0383cffe-7969-5917-85d5-e47d0c729fcc,fair,0,high,1,0.94,0.0,1,8,0.44313213,0.29054633,0.29656634,0.45129624,0.30012298,0.35947737
0383cffe-7969-5917-85d5-e47d0c729fcc,fair,0,high,2,0.06,0.0,1,8,0.100953616,0.06670513,0.29656652,0.117408685,0.07850554,0.36774465
