subject_id,scenario_label,intimacy,effort,action,p_action,intimacy_scaled,effort_condition,action_idx,scenario_idx,pred_access_full,pred_access_only,pred_no_access,pred_access_full_prior,pred_access_only_prior,pred_no_access_prior
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,soup,100,high,1,0.14,1.0,1,0,13,0.31988522,0.5,0.49999985,0.2863338,0.47573543,0.42722067
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,soup,100,high,2,0.86,1.0,1,1,13,0.6801148,0.5,0.5000002,0.71366614,0.5242646,0.5727794
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,takeout,50,low,1,0.96,0.5,0,0,14,0.7859309,0.740738,0.49999997,0.81048363,0.7577228,0.6371024
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,takeout,50,low,2,0.04,0.5,0,1,14,0.21406917,0.25926206,0.50000006,0.18951632,0.2422772,0.3628976
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,wedding,0,low,1,0.99,0.0,0,0,15,0.91977274,0.8575601,0.49999997,0.9217842,0.8534524,0.5975683
4b9c5a54-bd4d-556b-b2c8-adfdb08967de,wedding,0,low,2,0.01,0.0,0,1,15,0.08022724,0.1424399,0.50000006,0.078215785,0.14654765,0.40243176
51e0a5f8-28ef-5849-a275-c5a3502987fd,apples,50,high,1,0.3,0.5,1,0,0,0.61805874,0.740738,0.4999998,0.598735,0.728595,0.5254276
51e0a5f8-28ef-5849-a275-c5a3502987fd,apples,50,high,2,0.7,0.5,1,1,0,0.38194126,0.25926206,0.50000024,0.40126505,0.27140498,0.4745725
51e0a5f8-28ef-5849-a275-c5a3502987fd,basketball,100,low,1,0.26,1.0,0,0,1,0.39674285,0.5,0.4999999,0.44506618,0.54185915,0.62400687
51e0a5f8-28ef-5849-a275-c5a3502987fd,basketball,100,low,2,0.74,1.0,0,1,1,0.6032572,0.5,0.50000006,0.55493385,0.45814088,0.37599316
51e0a5f8-28ef-5849-a275-c5a3502987fd,birthday,100,low,1,0.04,1.0,0,0,2,0.4118805,0.5,0.4999999,0.46731985,0.546479,0.63710237
51e0a5f8-28ef-5849-a275-c5a3502987fd,birthday,100,low,2,0.96,1.0,0,1,2,0.58811945,0.5,0.50000006,0.5326801,0.45352098,0.36289766
51e0a5f8-28ef-5849-a275-c5a3502987fd,brunch,0,high,1,1.0,0.0,1,0,3,0.8256773,0.80214316,0.4999999,0.84164,0.8112514,0.6371023
51e0a5f8-28ef-5849-a275-c5a3502987fd,brunch,0,high,2,0.0,0.0,1,1,3,0.17432268,0.19785678,0.5000001,0.15836003,0.18874857,0.36289766
51e0a5f8-28ef-5849-a275-c5a3502987fd,cooking,100,high,1,0.09,1.0,1,0,4,0.3365137,0.5,0.49999985,0.38512313,0.546479,0.63710225
51e0a5f8-28ef-5849-a275-c5a3502987fd,cooking,100,high,2,0.91,1.0,1,1,4,0.6634863,0.5,0.5000001,0.61487687,0.45352098,0.36289772
51e0a5f8-28ef-5849-a275-c5a3502987fd,dip,75,low,1,1.0,0.75,0,0,5,0.74147046,0.6282937,0.50000006,0.7810496,0.6606185,0.6389895
51e0a5f8-28ef-5849-a275-c5a3502987fd,dip,75,low,2,0.0,0.75,0,1,5,0.2585295,0.37170628,0.49999994,0.21895039,0.3393815,0.36101052
51e0a5f8-28ef-5849-a275-c5a3502987fd,drinks,50,high,1,0.97,0.5,1,0,6,0.5547437,0.71830684,0.4999998,0.5649506,0.72625023,0.59338844
51e0a5f8-28ef-5849-a275-c5a3502987fd,drinks,50,high,2,0.03,0.5,1,1,6,0.4452563,0.28169313,0.50000024,0.4350494,0.27374974,0.40661153
51e0a5f8-28ef-5849-a275-c5a3502987fd,driving,75,high,1,0.16,0.75,1,0,7,0.5255702,0.6282937,0.49999985,0.5446354,0.6431694,0.58390987
51e0a5f8-28ef-5849-a275-c5a3502987fd,driving,75,high,2,0.84,0.75,1,1,7,0.4744298,0.37170628,0.5000001,0.45536456,0.35683063,0.41609022
51e0a5f8-28ef-5849-a275-c5a3502987fd,fair,75,high,1,0.96,0.75,1,0,8,0.44788682,0.6040927,0.49999985,0.43687287,0.5991637,0.5136438
51e0a5f8-28ef-5849-a275-c5a3502987fd,fair,75,high,2,0.04,0.75,1,1,8,0.5521132,0.3959073,0.5000002,0.56312716,0.40083632,0.48635623
51e0a5f8-28ef-5849-a275-c5a3502987fd,gala,0,high,1,0.64,0.0,1,0,9,0.90238315,0.8908658,0.49999982,0.79672456,0.8011715,0.17489995
51e0a5f8-28ef-5849-a275-c5a3502987fd,gala,0,high,2,0.36,0.0,1,1,9,0.097616814,0.10913422,0.5000002,0.20327541,0.19882856,0.82510006
51e0a5f8-28ef-5849-a275-c5a3502987fd,hike,0,low,1,1.0,0.0,0,0,10,0.79461175,0.740738,0.49999997,0.8187432,0.7577228,0.6371024
51e0a5f8-28ef-5849-a275-c5a3502987fd,hike,0,low,2,0.0,0.0,0,1,10,0.20538822,0.25926206,0.50000006,0.18125677,0.24227719,0.3628976
51e0a5f8-28ef-5849-a275-c5a3502987fd,oysters,100,high,1,0.95,1.0,1,0,11,0.27611265,0.5,0.4999998,0.3091319,0.53903985,0.615934
51e0a5f8-28ef-5849-a275-c5a3502987fd,oysters,100,high,2,0.05,1.0,1,1,11,0.7238874,0.5,0.5000002,0.69086814,0.46096015,0.38406602
51e0a5f8-28ef-5849-a275-c5a3502987fd,social,0,low,1,1.0,0.0,0,0,12,0.96193755,0.8908658,0.5,0.9626707,0.8847841,0.59756833
51e0a5f8-28ef-5849-a275-c5a3502987fd,social,0,low,2,0.0,0.0,0,1,12,0.03806242,0.10913422,0.49999997,0.037329316,0.11521593,0.40243167
51e0a5f8-28ef-5849-a275-c5a3502987fd,soup,75,low,1,0.88,0.75,0,0,13,0.5168496,0.60241765,0.4999999,0.5453584,0.62445766,0.59756815
51e0a5f8-28ef-5849-a275-c5a3502987fd,soup,75,low,2,0.12,0.75,0,1,13,0.48315045,0.39758235,0.5000001,0.45464155,0.37554237,0.40243182
51e0a5f8-28ef-5849-a275-c5a3502987fd,takeout,50,low,1,1.0,0.5,0,0,14,0.7859309,0.740738,0.49999997,0.81048363,0.7577228,0.6371024
51e0a5f8-28ef-5849-a275-c5a3502987fd,takeout,50,low,2,0.0,0.5,0,1,14,0.21406917,0.25926206,0.50000006,0.18951632,0.2422772,0.3628976
