subject_id,scenario_label,stimulus_index,action_condition,intimacy,stage,desire_rating,effort_rating
2be6294c-4222-55b6-b5fe-ce0cbebe84af,bed,2,no_share,somewhat_formal,prior,0.84,0.44
2be6294c-4222-55b6-b5fe-ce0cbebe84af,blanket,0,low_risk_share,max_intimate,posterior,0.75,0.0
2be6294c-4222-55b6-b5fe-ce0cbebe84af,blanket,0,low_risk_share,max_intimate,prior,0.85,0.49
2be6294c-4222-55b6-b5fe-ce0cbebe84af,breakup,11,low_risk_share,somewhat_formal,posterior,0.62,0.15
2be6294c-4222-55b6-b5fe-ce0cbebe84af,breakup,11,low_risk_share,somewhat_formal,prior,0.55,0.61
2be6294c-4222-55b6-b5fe-ce0cbebe84af,chapstick,13,low_risk_share,max_formal,posterior,0.94,0.1
2be6294c-4222-55b6-b5fe-ce0cbebe84af,chapstick,13,low_risk_share,max_formal,prior,0.79,0.21
2be6294c-4222-55b6-b5fe-ce0cbebe84af,earbuds,8,high_risk_share,max_formal,posterior,1.0,0.87
2be6294c-4222-55b6-b5fe-ce0cbebe84af,earbuds,8,high_risk_share,max_formal,prior,0.74,0.51
2be6294c-4222-55b6-b5fe-ce0cbebe84af,gossip,15,no_share,somewhat_intimate,posterior,0.11,0.55
2be6294c-4222-55b6-b5fe-ce0cbebe84af,gossip,15,no_share,somewhat_intimate,prior,0.94,0.12
2be6294c-4222-55b6-b5fe-ce0cbebe84af,hairbrush,9,high_risk_share,somewhat_intimate,posterior,0.97,0.51
2be6294c-4222-55b6-b5fe-ce0cbebe84af,hairbrush,9,high_risk_share,somewhat_intimate,prior,0.85,0.27
2be6294c-4222-55b6-b5fe-ce0cbebe84af,harmonica,3,low_risk_share,somewhat_formal,posterior,1.0,0.0
2be6294c-4222-55b6-b5fe-ce0cbebe84af,harmonica,3,low_risk_share,somewhat_formal,prior,0.2,0.66
2be6294c-4222-55b6-b5fe-ce0cbebe84af,home,14,high_risk_share,max_intimate,posterior,0.97,1.0
2be6294c-4222-55b6-b5fe-ce0cbebe84af,home,14,high_risk_share,max_intimate,prior,0.32,0.23
2be6294c-4222-55b6-b5fe-ce0cbebe84af,locker-room,10,high_risk_share,somewhat_intimate,posterior,1.0,0.85
2be6294c-4222-55b6-b5fe-ce0cbebe84af,locker-room,10,high_risk_share,somewhat_intimate,prior,0.66,0.91
2be6294c-4222-55b6-b5fe-ce0cbebe84af,navigation,4,no_share,max_formal,posterior,0.06,1.0
2be6294c-4222-55b6-b5fe-ce0cbebe84af,navigation,4,no_share,max_formal,prior,0.9,0.38
2be6294c-4222-55b6-b5fe-ce0cbebe84af,salary,5,low_risk_share,somewhat_intimate,posterior,0.97,0.8
2be6294c-4222-55b6-b5fe-ce0cbebe84af,salary,5,low_risk_share,somewhat_intimate,prior,0.72,0.82
2be6294c-4222-55b6-b5fe-ce0cbebe84af,sauna,1,no_share,max_formal,posterior,0.05,0.97
2be6294c-4222-55b6-b5fe-ce0cbebe84af,sauna,1,no_share,max_formal,prior,0.68,0.04
2be6294c-4222-55b6-b5fe-ce0cbebe84af,sleeping-bag,12,no_share,max_intimate,posterior,0.91,0.88
2be6294c-4222-55b6-b5fe-ce0cbebe84af,sleeping-bag,12,no_share,max_intimate,prior,1.0,0.8
2be6294c-4222-55b6-b5fe-ce0cbebe84af,sunscreen,7,no_share,max_intimate,posterior,0.01,0.56
2be6294c-4222-55b6-b5fe-ce0cbebe84af,sunscreen,7,no_share,max_intimate,prior,0.9,0.48
2be6294c-4222-55b6-b5fe-ce0cbebe84af,towel,6,high_risk_share,somewhat_formal,posterior,0.99,0.92
